matchup,score,away,home,away_score,home_score,home_win
Philadelphia 76ers at Minnesota Timberwolves,99 - 106,Philadelphia 76ers,Minnesota Timberwolves,99,106,1
San Antonio Spurs at Milwaukee Bucks,109 - 77,San Antonio Spurs,Milwaukee Bucks,109,77,0
Oklahoma City Thunder at Memphis Grizzlies,116 - 100,Oklahoma City Thunder,Memphis Grizzlies,116,100,0
Los Angeles Clippers at Boston Celtics,96 - 88,Los Angeles Clippers,Boston Celtics,96,88,0
Orlando Magic at Charlotte Bobcats,92 - 83,Orlando Magic,Charlotte Bobcats,92,83,0
Los Angeles Clippers at Brooklyn Nets,93 - 102,Los Angeles Clippers,Brooklyn Nets,93,102,1
Houston Rockets at Portland Trail Blazers,104 - 111,Houston Rockets,Portland Trail Blazers,104,111,1
Chicago Bulls at Milwaukee Bucks,91 - 90,Chicago Bulls,Milwaukee Bucks,91,90,0
Minnesota Timberwolves at San Antonio Spurs,110 - 117,Minnesota Timberwolves,San Antonio Spurs,110,117,1
Utah Jazz at Denver Nuggets,103 - 93,Utah Jazz,Denver Nuggets,103,93,0
Sacramento Kings at Phoenix Suns,107 - 116,Sacramento Kings,Phoenix Suns,107,116,1
Houston Rockets at Golden State Warriors,116 - 112,Houston Rockets,Golden State Warriors,116,112,0
Los Angeles Lakers at Oklahoma City Thunder,97 - 122,Los Angeles Lakers,Oklahoma City Thunder,97,122,1
Memphis Grizzlies at New Orleans Pelicans,98 - 104,Memphis Grizzlies,New Orleans Pelicans,98,104,1
Brooklyn Nets at Detroit Pistons,99 - 103,Brooklyn Nets,Detroit Pistons,99,103,1
Charlotte Bobcats at Indiana Pacers,94 - 99,Charlotte Bobcats,Indiana Pacers,94,99,1
Cleveland Cavaliers at Orlando Magic,109 - 100,Cleveland Cavaliers,Orlando Magic,109,100,0
Philadelphia 76ers at Toronto Raptors,100 - 108,Philadelphia 76ers,Toronto Raptors,100,108,1
Washington Wizards at Atlanta Hawks,99 - 101,Washington Wizards,Atlanta Hawks,99,101,1
New York Knicks at Boston Celtics,86 - 90,New York Knicks,Boston Celtics,86,90,1
San Antonio Spurs at Utah Jazz,100 - 84,San Antonio Spurs,Utah Jazz,100,84,0
Milwaukee Bucks at Dallas Mavericks,93 - 106,Milwaukee Bucks,Dallas Mavericks,93,106,1
Portland Trail Blazers at Philadelphia 76ers,139 - 105,Portland Trail Blazers,Philadelphia 76ers,139,105,0
Toronto Raptors at Chicago Bulls,99 - 77,Toronto Raptors,Chicago Bulls,99,77,0
Atlanta Hawks at New York Knicks,106 - 111,Atlanta Hawks,New York Knicks,106,111,1
Cleveland Cavaliers at Miami Heat,107 - 114,Cleveland Cavaliers,Miami Heat,107,114,1
Los Angeles Clippers at Washington Wizards,113 - 97,Los Angeles Clippers,Washington Wizards,113,97,0
Los Angeles Lakers at Charlotte Bobcats,88 - 85,Los Angeles Lakers,Charlotte Bobcats,88,85,0
Golden State Warriors at Phoenix Suns,102 - 106,Golden State Warriors,Phoenix Suns,102,106,1
New Orleans Pelicans at Denver Nuggets,93 - 102,New Orleans Pelicans,Denver Nuggets,93,102,1
Orlando Magic at Oklahoma City Thunder,98 - 101,Orlando Magic,Oklahoma City Thunder,98,101,1
Portland Trail Blazers at Detroit Pistons,111 - 109,Portland Trail Blazers,Detroit Pistons,111,109,0
Minnesota Timberwolves at Memphis Grizzlies,101 - 93,Minnesota Timberwolves,Memphis Grizzlies,101,93,0
Houston Rockets at Sacramento Kings,91 - 106,Houston Rockets,Sacramento Kings,91,106,1
San Antonio Spurs at Los Angeles Clippers,92 - 115,San Antonio Spurs,Los Angeles Clippers,92,115,1
Orlando Magic at Chicago Bulls,83 - 82,Orlando Magic,Chicago Bulls,83,82,0
Washington Wizards at New York Knicks,102 - 101,Washington Wizards,New York Knicks,102,101,0
Utah Jazz at Miami Heat,94 - 117,Utah Jazz,Miami Heat,94,117,1
Philadelphia 76ers at Brooklyn Nets,94 - 130,Philadelphia 76ers,Brooklyn Nets,94,130,1
Minnesota Timberwolves at Boston Celtics,97 - 101,Minnesota Timberwolves,Boston Celtics,97,101,1
Los Angeles Lakers at Atlanta Hawks,100 - 114,Los Angeles Lakers,Atlanta Hawks,100,114,1
Detroit Pistons at Indiana Pacers,101 - 96,Detroit Pistons,Indiana Pacers,101,96,0
New Orleans Pelicans at Golden State Warriors,93 - 104,New Orleans Pelicans,Golden State Warriors,93,104,1
Oklahoma City Thunder at Denver Nuggets,105 - 93,Oklahoma City Thunder,Denver Nuggets,105,93,0
Los Angeles Lakers at Memphis Grizzlies,96 - 92,Los Angeles Lakers,Memphis Grizzlies,96,92,0
Portland Trail Blazers at Cleveland Cavaliers,119 - 116,Portland Trail Blazers,Cleveland Cavaliers,119,116,0
Sacramento Kings at Charlotte Bobcats,87 - 95,Sacramento Kings,Charlotte Bobcats,87,95,1
New Orleans Pelicans at Los Angeles Clippers,95 - 108,New Orleans Pelicans,Los Angeles Clippers,95,108,1
Chicago Bulls at Houston Rockets,94 - 109,Chicago Bulls,Houston Rockets,94,109,1
San Antonio Spurs at Phoenix Suns,108 - 101,San Antonio Spurs,Phoenix Suns,108,101,0
Memphis Grizzlies at Dallas Mavericks,91 - 105,Memphis Grizzlies,Dallas Mavericks,91,105,1
Portland Trail Blazers at Minnesota Timberwolves,109 - 120,Portland Trail Blazers,Minnesota Timberwolves,109,120,1
New York Knicks at Milwaukee Bucks,107 - 101,New York Knicks,Milwaukee Bucks,107,101,0
Washington Wizards at Brooklyn Nets,113 - 107,Washington Wizards,Brooklyn Nets,113,107,0
Detroit Pistons at Boston Celtics,107 - 106,Detroit Pistons,Boston Celtics,107,106,0
Sacramento Kings at Atlanta Hawks,107 - 124,Sacramento Kings,Atlanta Hawks,107,124,1
Charlotte Bobcats at Toronto Raptors,104 - 102,Charlotte Bobcats,Toronto Raptors,104,102,0
Utah Jazz at Orlando Magic,86 - 82,Utah Jazz,Orlando Magic,86,82,0
Indiana Pacers at Miami Heat,94 - 97,Indiana Pacers,Miami Heat,94,97,1
San Antonio Spurs at Golden State Warriors,104 - 102,San Antonio Spurs,Golden State Warriors,104,102,0
Chicago Bulls at Oklahoma City Thunder,95 - 107,Chicago Bulls,Oklahoma City Thunder,95,107,1
Minnesota Timberwolves at Los Angeles Lakers,91 - 104,Minnesota Timberwolves,Los Angeles Lakers,91,104,1
Phoenix Suns at Denver Nuggets,103 - 99,Phoenix Suns,Denver Nuggets,103,99,0
Toronto Raptors at Dallas Mavericks,109 - 108,Toronto Raptors,Dallas Mavericks,109,108,0
Houston Rockets at Indiana Pacers,81 - 114,Houston Rockets,Indiana Pacers,81,114,1
Sacramento Kings at Miami Heat,103 - 122,Sacramento Kings,Miami Heat,103,122,1
Charlotte Bobcats at Detroit Pistons,116 - 106,Charlotte Bobcats,Detroit Pistons,116,106,0
Milwaukee Bucks at Cleveland Cavaliers,111 - 114,Milwaukee Bucks,Cleveland Cavaliers,111,114,1
Utah Jazz at Atlanta Hawks,85 - 118,Utah Jazz,Atlanta Hawks,85,118,1
Brooklyn Nets at Philadelphia 76ers,120 - 121,Brooklyn Nets,Philadelphia 76ers,120,121,1
Oklahoma City Thunder at San Antonio Spurs,113 - 100,Oklahoma City Thunder,San Antonio Spurs,113,100,0
Dallas Mavericks at Phoenix Suns,108 - 123,Dallas Mavericks,Phoenix Suns,108,123,1
New Orleans Pelicans at Portland Trail Blazers,107 - 110,New Orleans Pelicans,Portland Trail Blazers,107,110,1
Los Angeles Lakers at Golden State Warriors,83 - 102,Los Angeles Lakers,Golden State Warriors,83,102,1
Denver Nuggets at Los Angeles Clippers,91 - 112,Denver Nuggets,Los Angeles Clippers,91,112,1
Philadelphia 76ers at Milwaukee Bucks,106 - 116,Philadelphia 76ers,Milwaukee Bucks,106,116,1
Cleveland Cavaliers at Chicago Bulls,84 - 100,Cleveland Cavaliers,Chicago Bulls,84,100,1
Houston Rockets at Detroit Pistons,114 - 97,Houston Rockets,Detroit Pistons,114,97,0
Utah Jazz at Charlotte Bobcats,88 - 85,Utah Jazz,Charlotte Bobcats,88,85,0
Sacramento Kings at Orlando Magic,105 - 100,Sacramento Kings,Orlando Magic,105,100,0
Washington Wizards at Boston Celtics,106 - 99,Washington Wizards,Boston Celtics,106,99,0
Memphis Grizzlies at New York Knicks,95 - 87,Memphis Grizzlies,New York Knicks,95,87,0
Minnesota Timberwolves at Los Angeles Clippers,116 - 120,Minnesota Timberwolves,Los Angeles Clippers,116,120,1
Toronto Raptors at Oklahoma City Thunder,104 - 98,Toronto Raptors,Oklahoma City Thunder,104,98,0
Boston Celtics at Indiana Pacers,79 - 106,Boston Celtics,Indiana Pacers,79,106,1
New Orleans Pelicans at Sacramento Kings,113 - 100,New Orleans Pelicans,Sacramento Kings,113,100,0
Los Angeles Lakers at Phoenix Suns,90 - 117,Los Angeles Lakers,Phoenix Suns,90,117,1
Golden State Warriors at Denver Nuggets,89 - 81,Golden State Warriors,Denver Nuggets,89,81,0
Toronto Raptors at San Antonio Spurs,99 - 112,Toronto Raptors,San Antonio Spurs,99,112,1
Utah Jazz at Memphis Grizzlies,94 - 104,Utah Jazz,Memphis Grizzlies,94,104,1
Dallas Mavericks at Houston Rockets,111 - 104,Dallas Mavericks,Houston Rockets,111,104,0
Atlanta Hawks at Miami Heat,119 - 121,Atlanta Hawks,Miami Heat,119,121,1
Indiana Pacers at Brooklyn Nets,103 - 86,Indiana Pacers,Brooklyn Nets,103,86,0
New York Knicks at Orlando Magic,103 - 98,New York Knicks,Orlando Magic,103,98,0
Detroit Pistons at Cleveland Cavaliers,115 - 92,Detroit Pistons,Cleveland Cavaliers,115,92,0
Milwaukee Bucks at Charlotte Bobcats,110 - 111,Milwaukee Bucks,Charlotte Bobcats,110,111,1
Los Angeles Clippers at Golden State Warriors,103 - 105,Los Angeles Clippers,Golden State Warriors,103,105,1
Houston Rockets at San Antonio Spurs,111 - 98,Houston Rockets,San Antonio Spurs,111,98,0
Miami Heat at Los Angeles Lakers,101 - 95,Miami Heat,Los Angeles Lakers,101,95,0
Oklahoma City Thunder at New York Knicks,123 - 94,Oklahoma City Thunder,New York Knicks,123,94,0
Chicago Bulls at Brooklyn Nets,95 - 78,Chicago Bulls,Brooklyn Nets,95,78,0
Los Angeles Clippers at Portland Trail Blazers,112 - 116,Los Angeles Clippers,Portland Trail Blazers,112,116,1
San Antonio Spurs at Dallas Mavericks,116 - 107,San Antonio Spurs,Dallas Mavericks,116,107,0
Memphis Grizzlies at Houston Rockets,92 - 100,Memphis Grizzlies,Houston Rockets,92,100,1
Atlanta Hawks at Cleveland Cavaliers,127 - 125,Atlanta Hawks,Cleveland Cavaliers,127,125,0
Phoenix Suns at Golden State Warriors,86 - 115,Phoenix Suns,Golden State Warriors,86,115,1
Miami Heat at Sacramento Kings,103 - 108,Miami Heat,Sacramento Kings,103,108,1
Los Angeles Lakers at Utah Jazz,103 - 105,Los Angeles Lakers,Utah Jazz,103,105,1
Denver Nuggets at New Orleans Pelicans,89 - 105,Denver Nuggets,New Orleans Pelicans,89,105,1
Washington Wizards at Minnesota Timberwolves,98 - 120,Washington Wizards,Minnesota Timberwolves,98,120,1
Toronto Raptors at New York Knicks,95 - 83,Toronto Raptors,New York Knicks,95,83,0
Milwaukee Bucks at Brooklyn Nets,93 - 104,Milwaukee Bucks,Brooklyn Nets,93,104,1
Detroit Pistons at Orlando Magic,92 - 109,Detroit Pistons,Orlando Magic,92,109,1
Oklahoma City Thunder at Charlotte Bobcats,89 - 85,Oklahoma City Thunder,Charlotte Bobcats,89,85,0
Denver Nuggets at Memphis Grizzlies,99 - 120,Denver Nuggets,Memphis Grizzlies,99,120,1
Minnesota Timberwolves at Milwaukee Bucks,117 - 95,Minnesota Timberwolves,Milwaukee Bucks,117,95,0
Philadelphia 76ers at Phoenix Suns,101 - 115,Philadelphia 76ers,Phoenix Suns,101,115,1
Miami Heat at Portland Trail Blazers,108 - 107,Miami Heat,Portland Trail Blazers,108,107,0
Utah Jazz at Los Angeles Clippers,90 - 98,Utah Jazz,Los Angeles Clippers,90,98,1
New Orleans Pelicans at Houston Rockets,98 - 107,New Orleans Pelicans,Houston Rockets,98,107,1
Dallas Mavericks at Chicago Bulls,105 - 83,Dallas Mavericks,Chicago Bulls,105,83,0
Charlotte Bobcats at Atlanta Hawks,116 - 118,Charlotte Bobcats,Atlanta Hawks,116,118,1
Detroit Pistons at Washington Wizards,82 - 106,Detroit Pistons,Washington Wizards,82,106,1
New York Knicks at Toronto Raptors,100 - 115,New York Knicks,Toronto Raptors,100,115,1
Brooklyn Nets at Indiana Pacers,91 - 105,Brooklyn Nets,Indiana Pacers,91,105,1
Cleveland Cavaliers at Boston Celtics,100 - 103,Cleveland Cavaliers,Boston Celtics,100,103,1
Philadelphia 76ers at Los Angeles Lakers,111 - 104,Philadelphia 76ers,Los Angeles Lakers,111,104,0
Sacramento Kings at San Antonio Spurs,104 - 112,Sacramento Kings,San Antonio Spurs,104,112,1
Houston Rockets at Oklahoma City Thunder,86 - 117,Houston Rockets,Oklahoma City Thunder,86,117,1
Atlanta Hawks at Orlando Magic,102 - 109,Atlanta Hawks,Orlando Magic,102,109,1
Golden State Warriors at Cleveland Cavaliers,108 - 104,Golden State Warriors,Cleveland Cavaliers,108,104,0
Phoenix Suns at Los Angeles Clippers,107 - 88,Phoenix Suns,Los Angeles Clippers,107,88,0
Charlotte Bobcats at Utah Jazz,80 - 83,Charlotte Bobcats,Utah Jazz,80,83,1
Miami Heat at Denver Nuggets,97 - 94,Miami Heat,Denver Nuggets,97,94,0
Portland Trail Blazers at New Orleans Pelicans,108 - 110,Portland Trail Blazers,New Orleans Pelicans,108,110,1
Dallas Mavericks at Minnesota Timberwolves,100 - 98,Dallas Mavericks,Minnesota Timberwolves,100,98,0
Chicago Bulls at Memphis Grizzlies,95 - 91,Chicago Bulls,Memphis Grizzlies,95,91,0
Washington Wizards at Detroit Pistons,106 - 99,Washington Wizards,Detroit Pistons,106,99,0
Portland Trail Blazers at Oklahoma City Thunder,98 - 94,Portland Trail Blazers,Oklahoma City Thunder,98,94,0
Toronto Raptors at Chicago Bulls,85 - 79,Toronto Raptors,Chicago Bulls,85,79,0
Brooklyn Nets at San Antonio Spurs,92 - 113,Brooklyn Nets,San Antonio Spurs,92,113,1
Sacramento Kings at Houston Rockets,110 - 106,Sacramento Kings,Houston Rockets,110,106,0
Golden State Warriors at Orlando Magic,94 - 81,Golden State Warriors,Orlando Magic,94,81,0
Cleveland Cavaliers at Indiana Pacers,76 - 91,Cleveland Cavaliers,Indiana Pacers,76,91,1
Atlanta Hawks at Boston Celtics,92 - 91,Atlanta Hawks,Boston Celtics,92,91,0
Milwaukee Bucks at Los Angeles Lakers,94 - 79,Milwaukee Bucks,Los Angeles Lakers,94,79,0
